country,food_category,consumption,co2_emmission,alpha-3,id
Argentina,Pork,10.51,37.2,ARG,32
Argentina,Poultry,38.66,41.53,ARG,32
Argentina,Beef,55.48,1712.0,ARG,32
Argentina,Lamb & Goat,1.56,54.63,ARG,32
Argentina,Fish,4.359999999999999,6.96,ARG,32
Argentina,Eggs,11.39,10.46,ARG,32
Argentina,Milk - inc. cheese,195.08,277.87,ARG,32
Argentina,Wheat and Wheat Products,103.11,19.66,ARG,32
Argentina,Rice,8.77,11.22,ARG,32
Argentina,Soybeans,0.0,0.0,ARG,32
Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,ARG,32
Australia,Pork,24.14,85.44000000000001,AUS,36
Australia,Poultry,46.120000000000005,49.54,AUS,36
Australia,Beef,33.86,1044.85,AUS,36
Australia,Lamb & Goat,9.87,345.65000000000003,AUS,36
Australia,Fish,17.69,28.25,AUS,36
Australia,Eggs,8.51,7.819999999999999,AUS,36
Australia,Milk - inc. cheese,234.49,334.01,AUS,36
Australia,Wheat and Wheat Products,70.46000000000001,13.44,AUS,36
Australia,Rice,11.03,14.12,AUS,36
Australia,Soybeans,0.19,0.09,AUS,36
Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,AUS,36
Albania,Pork,10.88,38.51,ALB,8
Albania,Poultry,13.23,14.21,ALB,8
Albania,Beef,22.5,694.3,ALB,8
Albania,Lamb & Goat,15.32,536.5,ALB,8
Albania,Fish,3.85,6.15,ALB,8
Albania,Eggs,12.45,11.44,ALB,8
Albania,Milk - inc. cheese,303.72,432.62,ALB,8
Albania,Wheat and Wheat Products,138.64,26.44,ALB,8
Albania,Rice,7.78,9.96,ALB,8
Albania,Soybeans,0.0,0.0,ALB,8
Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72,ALB,8
Iceland,Pork,21.69,76.77,ISL,352
Iceland,Poultry,26.87,28.86,ISL,352
Iceland,Beef,13.36,412.26,ISL,352
Iceland,Lamb & Goat,21.12,739.62,ISL,352
Iceland,Fish,74.41000000000001,118.81,ISL,352
Iceland,Eggs,8.239999999999998,7.57,ISL,352
Iceland,Milk - inc. cheese,225.82,321.66,ISL,352
Iceland,Wheat and Wheat Products,72.92,13.91,ISL,352
Iceland,Rice,3.89,4.98,ISL,352
Iceland,Soybeans,0.11,0.05,ISL,352
Iceland,Nuts inc. Peanut Butter,3.88,6.87,ISL,352
New Zealand,Pork,22.29,78.9,NZL,554
New Zealand,Poultry,34.98,37.58,NZL,554
New Zealand,Beef,22.49,693.99,NZL,554
New Zealand,Lamb & Goat,18.91,662.23,NZL,554
New Zealand,Fish,20.36,32.51,NZL,554
New Zealand,Eggs,9.91,9.1,NZL,554
New Zealand,Milk - inc. cheese,137.25,195.5,NZL,554
New Zealand,Wheat and Wheat Products,76.91000000000001,14.67,NZL,554
New Zealand,Rice,9.16,11.72,NZL,554
New Zealand,Soybeans,0.44,0.2,NZL,554
New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55,NZL,554
Uruguay,Pork,16.84,59.61,URY,858
Uruguay,Poultry,27.45,29.49,URY,858
Uruguay,Beef,29.1,897.9599999999999,URY,858
